Table name,Field name,Data type,Decimal digits,Field size,Column start,Column end,Description,Codes,Changes,Hand book section,Notes
ALTWOODY,SURVEY,numeric,,4,1,4,Sample survey year,,,,
ALTWOODY,STATE,numeric,,2,6,7,Numerical FIPS state code,,,,
ALTWOODY,COUNTY,numeric,,3,9,11,Numerical FIPS county code,,,,
ALTWOODY,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
ALTWOODY,POINT,numeric,,3,21,23,Point numeric within the segment,"1, 2, or 3",,,
ALTWOODY,PLOT,character,,8,25,32,Biomass plot identifier,"biomassplot (but restricted to ""nesw0375"" and ""nesw1125"")",,15.5.1,
ALTWOODY,SEQNUM,numeric,,2,34,35,Sequence numeric,,,,
ALTWOODY,SPECIES_GROUP,character,,12,37,48,Woody plant species or plant type group,speciesgroup,,15.5.3,
ALTWOODY,SPECIES_DIAMETER,numeric,1,5,50,54,Average tree diameter in cm at breast height or shrub diameter in cm at base for this species group,,,15.5.3,
ALTWOODY,SPECIES_COUNT,numeric,,3,56,58,numeric of trees or stems in this species group,,,15.5.3,
BIOMASS,SURVEY,numeric,,4,1,4,Sample survey year,,,,
BIOMASS,STATE,numeric,,2,6,7,Numerical FIPS state code,,,,
BIOMASS,COUNTY,numeric,,3,9,11,Numerical FIPS county code,,,,
BIOMASS,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
BIOMASS,POINT,numeric,,3,21,23,Point numeric within the segment,"1, 2, or 3",,,
BIOMASS,PLOT,character,,8,25,32,Biomass subplot identifier,biomassplot,,15.5.1,
BIOMASS,HERB_GREEN_WEIGHT,numeric,,5,34,38,Total green weight in grams for herbaceous species on the subplot,,,15.5.2,
BIOMASS,HERB_SAMPLE_GREEN_WEIGHT,numeric,,5,40,44,Sub sample green weight in grams for herbaceous species on the subplot,,,15.5.2,
BIOMASS,HERB_SAMPLE_DRY_WEIGHT,numeric,,5,46,50,Sub sample dry weight in grams for herbaceous species on the subplot,,,15.5.2,
